Time,Power
03-16-01:45:11,6
03-16-01:45:31,6
03-16-01:45:51,6
03-16-01:46:11,6
03-16-01:46:30,6
03-16-01:46:51,6
03-16-01:47:11,6
03-16-01:47:31,6
03-16-01:47:51,6
03-16-01:48:11,6
03-16-01:48:31,6
03-16-01:48:51,6
03-16-01:49:11,6
03-16-01:49:31,6
03-16-01:49:51,6
03-16-01:50:11,6
03-16-01:50:31,6
03-16-01:50:51,6
03-16-01:51:11,6
03-16-01:51:31,6
03-16-01:51:51,6
03-16-01:52:11,6
03-16-01:52:31,6
03-16-01:52:51,6
03-16-01:53:11,6
03-16-01:53:31,6
03-16-01:53:51,6
03-16-01:54:11,6
03-16-01:54:31,6
03-16-01:54:51,6
03-16-01:55:11,6
03-16-01:55:31,6
03-16-01:55:51,6
03-16-01:56:11,6
03-16-01:56:31,6
03-16-01:56:51,6
03-16-01:57:11,6
03-16-01:57:31,6
03-16-01:57:51,6
03-16-01:58:11,6
03-16-01:58:31,6
03-16-01:58:51,6
03-16-01:59:11,6
03-16-01:59:31,6
03-16-01:59:51,6
03-16-02:00:11,6
03-16-02:00:31,6
03-16-02:00:51,6
03-16-02:01:11,6
03-16-02:01:31,6
03-16-02:01:51,6
03-16-02:02:11,6
03-16-02:02:31,6
03-16-02:02:51,6
03-16-02:03:11,6
03-16-02:03:31,6
03-16-02:03:51,6
03-16-02:04:12,6
03-16-02:04:32,6
03-16-02:04:51,6
03-16-02:05:12,6
03-16-02:05:32,6
03-16-02:05:52,6
03-16-02:06:12,6
03-16-02:06:32,6
03-16-02:06:52,6
03-16-02:07:12,6
03-16-02:07:32,6
03-16-02:07:52,6
03-16-02:08:12,6
03-16-02:08:32,6
03-16-02:08:52,6
03-16-02:09:12,6
03-16-02:09:32,6
03-16-02:09:52,6
03-16-02:10:12,6
03-16-02:10:32,6
03-16-02:10:52,6
03-16-02:11:12,6
03-16-02:11:32,6
03-16-02:11:52,6
03-16-02:12:12,6
03-16-02:12:32,6
03-16-02:12:52,6
03-16-02:13:12,6
03-16-02:13:32,6
03-16-02:13:52,6
03-16-02:14:12,6
03-16-02:14:32,6
03-16-02:14:52,6
03-16-02:15:12,6
03-16-02:15:32,6
03-16-02:15:52,6
03-16-02:16:12,6
03-16-02:16:32,6
03-16-02:16:52,6
03-16-02:17:12,6
03-16-02:17:32,6
03-16-02:17:52,6
03-16-02:18:12,6
03-16-02:18:32,6
03-16-02:18:52,6
03-16-02:19:12,6
03-16-02:19:33,6
03-16-02:19:53,6
03-16-02:20:12,6
03-16-02:20:32,6
03-16-02:20:53,6
03-16-02:21:13,6
03-16-02:21:33,6
03-16-02:21:53,6
03-16-02:22:13,6
03-16-02:22:33,6
03-16-02:22:53,6
03-16-02:23:13,6
03-16-02:23:33,6
03-16-02:23:53,6
03-16-02:24:13,6
