Time,Power
03-16-00:41:27,94.25
03-16-00:41:47,94
03-16-00:42:07,94.5
03-16-00:42:27,94.5
03-16-00:42:47,94.75
03-16-00:43:07,94.5
03-16-00:43:27,94.25
03-16-00:43:47,94.5
03-16-00:44:07,94.5
03-16-00:44:27,94.5
03-16-00:44:47,94
03-16-00:45:07,94.5
03-16-00:45:27,94.25
03-16-00:45:47,94
03-16-00:46:07,94.25
03-16-00:46:27,94.25
03-16-00:46:47,94.5
03-16-00:47:07,94.25
03-16-00:47:27,94.25
03-16-00:47:47,94.5
03-16-00:48:07,94.5
03-16-00:48:27,94.25
03-16-00:48:47,94.25
03-16-00:49:07,94.25
03-16-00:49:27,94.5
03-16-00:49:47,94.25
03-16-00:50:07,94.5
03-16-00:50:27,94.75
03-16-00:50:47,94.5
03-16-00:51:07,94.5
03-16-00:51:28,99
03-16-00:51:47,98
03-16-00:52:08,97.25
03-16-00:52:28,96.75
03-16-00:52:47,95.75
03-16-00:53:07,95
03-16-00:53:28,94.75
03-16-00:53:48,94
03-16-00:54:08,94.25
03-16-00:54:28,94.25
03-16-00:54:48,94.5
03-16-00:55:08,94.25
03-16-00:55:28,94.25
03-16-00:55:48,94.25
03-16-00:56:08,94.25
03-16-00:56:28,94.25
03-16-00:56:48,94.25
03-16-00:57:08,94.5
03-16-00:57:28,94.5
03-16-00:57:48,94.5
03-16-00:58:08,94.5
03-16-00:58:28,94.25
03-16-00:58:48,94.25
03-16-00:59:08,94.25
03-16-00:59:28,94.5
03-16-00:59:48,94.25
03-16-01:00:08,94.25
03-16-01:00:28,94.5
03-16-01:00:48,94.5
03-16-01:01:08,94.25
03-16-01:01:28,94.5
03-16-01:01:48,94.25
03-16-01:02:08,94.75
03-16-01:02:28,94.5
03-16-01:02:48,94.25
03-16-01:03:08,94.5
03-16-01:03:28,94.25
03-16-01:03:48,94.25
03-16-01:04:08,94.5
03-16-01:04:28,94.25
03-16-01:04:48,94.5
03-16-01:05:08,94.5
03-16-01:05:28,94.25
03-16-01:05:48,94.25
03-16-01:06:08,94.5
03-16-01:06:28,94.5
03-16-01:06:48,94.25
03-16-01:07:08,94.5
03-16-01:07:28,94.25
03-16-01:07:48,94.25
03-16-01:08:08,94.25
03-16-01:08:28,94
03-16-01:08:48,94.5
03-16-01:09:08,94.5
03-16-01:09:28,94.25
03-16-01:09:48,94.25
03-16-01:10:08,95.5
03-16-01:10:29,95
03-16-01:10:48,95.25
03-16-01:11:09,96
03-16-01:11:28,95.75
03-16-01:11:49,95.25
